chain_name,website,address,region,latitude,longitude,tel,locality,country,name,factual_id,post_code,category_labels
Dunkin' Donuts,http://www.dunkindonuts.com,1 Lasalle Sqare # Donuts Center Donuts Ctr,RI,41.822646,-71.41845,(401) 272-7337,Providence,us,Dunkin' Donuts,a281c5a7-45c6-42c5-8e72-4631f41808a3,2903,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,801 Pennsylvania Ave SE,DC,38.883632,-76.99482,(202) 543-3923,Washington,us,Dunkin' Donuts,c69b6533-afab-4be8-b7f4-e1764a218aa2,20003,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,210 Harvard Ave,MA,42.34988,-71.13034,(617) 232-3402,Allston,us,Dunkin' Donuts,4b577136-ce1c-4fa6-80be-f3ce7b1ee8c2,2134,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,333 Jericho Tpke,NY,40.810649,-73.503712,(516) 364-2148,Syosset,us,Dunkin' Donuts,70847d2c-be2a-4992-a21b-236af2292d27,11791,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1650 N Alafaya Trl,FL,28.565437,-81.208018,(407) 384-9377,Orlando,us,Dunkin' Donuts,05751fc9-cc8a-45ba-b6a3-0fbf9016a8f5,32828,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,80 Boylston St,MA,42.35819,-71.062399,(617) 542-4606,Boston,us,Dunkin' Donuts,da4a2590-6006-4a2e-97c1-8e7fa3cb2379,2116,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1743 W Lawrence Ave,IL,41.968674,-87.673026,(773) 334-0554,Chicago,us,Dunkin' Donuts,4d27f3a4-2e0c-48db-b6db-fe9690c1e102,60640,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,976 Hempstead Tpke,NY,40.715733,-73.598605,(516) 485-2953,Uniondale,us,Dunkin' Donuts,7f17bd3e-93fd-40d4-8656-79102f25a96e,11553,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1063 Goffle Rd,NJ,40.967847,-74.153213,(973) 304-0334,Hawthorne,us,Dunkin' Donuts,195d0739-4605-422b-a757-0a3483e960fb,7506,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,530 Commonwealth Ave,MA,42.348451,-71.096109,(617) 236-7673,Boston,us,Dunkin' Donuts,383012aa-26d7-4ea2-9fbb-2bccd2cca9d2,2215,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,7430 Las Vegas Blvd S,NV,36.054449,-115.171707,(702) 263-7403,Las Vegas,us,Dunkin' Donuts,0b8de9c3-a370-4ea4-a219-87c0fc9023e7,89123,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1020 Commonwealth Ave,MA,42.351497,-71.121595,(617) 739-0812,Boston,us,Dunkin' Donuts,98d9824b-210b-4dd9-b377-038bbff4a3a3,2215,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,111 Independent Way,NY,41.422027,-73.629823,(845) 278-1802,Brewster,us,Dunkin' Donuts,6dcc04fa-4caf-430f-bdb1-9997c2d69980,10509,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,111 State St,MA,42.359058,-71.054751,(617) 523-1451,Boston,us,Dunkin' Donuts,7361384a-bb6e-40aa-97ea-69d3705ff189,2109,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1009 Smith St,RI,41.842658,-71.444932,(401) 490-9760,Providence,us,Dunkin' Donuts,1ff24963-e9d3-4368-a7b1-0f03e017c3e7,2908,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1618 Mountain Rd,PA,40.560891,-76.003354,(610) 562-9499,Hamburg,us,Dunkin' Donuts,79e25a5d-60d6-43a8-baef-8b4e8ad6d1ad,19526,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1067 Easton Ave,NJ,40.516049,-74.488371,(732) 249-5997,Somerset,us,Dunkin' Donuts,56895a3a-3f74-4fd1-b748-0d268153cd42,8873,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,3310 W Addison St,IL,41.946798,-87.710721,(773) 539-8114,Chicago,us,Dunkin' Donuts,6ffe3734-142b-4d87-97f7-be78dd07cb4c,60618,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,316 W 34th St,NY,40.752496,-73.994466,(212) 760-2600,New York,us,Dunkin' Donuts,7799c9e5-4198-49f1-919e-202cc6782375,10001,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,616 Massachusetts Ave,MA,42.336998,-71.077208,(617) 354-8944,Cambridge,us,Dunkin' Donuts,f8976e78-4631-43fd-987c-a006df6397b4,2139,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2105 S Alma School Rd,AZ,33.376818,-111.859215,(480) 838-1081,Mesa,us,Dunkin' Donuts,37d11d17-16e2-4460-97ea-828202d7b404,85210,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1 Penn Sq E,PA,39.952349,-75.162495,(215) 751-1451,Philadelphia,us,Dunkin' Donuts,7003a73d-09e3-43c2-80a8-56b9a3104973,19107,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,598 Washington St,MA,42.350299,-71.166803,(617) 254-2600,Brighton,us,Dunkin' Donuts,023fe57d-5ea6-40e8-afe4-4aa32fd29e44,2135,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2000 S Orange Ave,FL,28.519121,-81.37659,(407) 246-0301,Orlando,us,Dunkin' Donuts,293f0158-b1bf-4f60-af06-ebf38a468f8d,32806,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,4740 Ridge Rd,OH,41.425841,-81.734964,(216) 741-4438,Brooklyn,us,Dunkin' Donuts,2a81408e-48ec-4b0d-bac6-6c3b82d6acb4,44144,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,548 Broad St,NJ,40.812022,-74.194473,(973) 429-1770,Bloomfield,us,Dunkin' Donuts,4096069f-3938-4882-97fd-abfd2cca7bc9,7003,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1007 KINGS Hwy,NJ,39.816917,-75.193794,(856) 845-2121,West Deptford,us,Dunkin' Donuts,060aa513-e8d1-4901-8af4-8aff29ba4e42,8066,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1399 Delsea Dr,NJ,39.828772,-75.124364,(856) 853-2772,Deptford,us,Dunkin' Donuts,a83169e8-3555-491d-8707-8da47c5d0e30,8096,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,620 Fellsway,MA,42.406768,-71.092263,(781) 395-9727,Medford,us,Dunkin' Donuts,05540a92-9063-4cc9-b915-d45ce5cd75fb,2155,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,741 Cassat Ave,FL,30.31439,-81.730259,(904) 384-9960,Jacksonville,us,Dunkin' Donuts,5257d073-ffe6-44a4-be7a-ed341eeb3213,32205,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,13061 Lee Jackson Memorial Hwy,VA,38.88079,-77.398473,(703) 631-4503,Fairfax,us,Dunkin' Donuts,dccfc2cd-85cd-4317-a74b-7faf8abc02a4,22033,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2609 N Dixie Hwy,FL,26.159957,-80.132277,(954) 561-4171,Wilton Manors,us,Dunkin' Donuts,5a08cc68-bcb1-438f-87da-f2aad5fa79d9,33334,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1 Summer St,MA,42.35449,-71.059508,(617) 426-2817,Boston,us,Dunkin' Donuts,0b2ed8c5-1457-489a-8b71-eaacb6c1845e,2110,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,5300 W Genesee St,NY,43.041699,-76.269834,(315) 484-9231,Camillus,us,Dunkin' Donuts,330a936f-037e-4f71-a0a4-3392383d6a43,13031,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,3956 61st St,NY,40.745819,-73.903438,(718) 507-1999,Woodside,us,Dunkin' Donuts,6fd163cc-e700-4da3-a1a2-99f94893744b,11377,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,5560 E 7th St,CA,33.775114,-118.12356,(562) 494-5105,Long Beach,us,Dunkin' Donuts,db167a30-b371-47e6-8a26-39f7245e4817,90804,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,28 Market Sq,PA,40.440983,-80.003089,(412) 281-3195,Pittsburgh,us,Dunkin' Donuts,80e11cd8-351e-4973-8a13-ee15ad89a266,15222,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2720 S Dixie Hwy,FL,25.738931,-80.239429,(305) 444-1805,Miami,us,Dunkin' Donuts,6785715a-0da5-4383-87c6-1a4f98b8af6b,33133,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1661 Precinct Line Rd,TX,32.844479,-97.186737,(817) 503-8168,Hurst,us,Dunkin' Donuts,08f6c718-5249-43fe-bdb9-7ebc5508767f,76054,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,18003 Highwoods Preserve Pkwy,FL,28.130602,-82.366972,(813) 971-7547,Tampa,us,Dunkin' Donuts,186ad97c-8e6b-476f-a499-68fbf61d53d8,33647,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,10633 Braddock Rd,VA,38.825677,-77.314505,(703) 691-4090,Fairfax,us,Dunkin' Donuts,0ed70722-ef00-479d-bc27-d7c6ef8b186a,22032,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,820 Memorial Dr,MA,42.179886,-72.578018,(413) 593-1184,Chicopee,us,Dunkin' Donuts,0c85b890-cd40-012e-5616-003048cad9da,1020,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2560 E 146th St,IN,40.000822,-86.117739,(317) 844-4830,Carmel,us,Dunkin' Donuts,343528d4-4449-4281-961a-0d9edffd48be,46033,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,127 Tremont St,MA,42.356353,-71.061816,(617) 482-4566,Boston,us,Dunkin' Donuts,0aeaf0d4-8efa-431e-97bd-815aa6b30314,2108,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2080 Hempstead Tpke,NY,40.724566,-73.559659,(516) 794-7155,East Meadow,us,Dunkin' Donuts,831a1835-8e18-4683-b414-8675357ca376,11554,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,622 W Wisconsin Ave,WI,43.038986,-87.919702,(414) 347-1599,Milwaukee,us,Dunkin' Donuts,34eacc01-9542-4a29-88a8-16921cd2cbcc,53203,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,4322 Ditmars Blvd,NY,40.775671,-73.910399,(718) 204-2110,Astoria,us,Dunkin' Donuts,f055519c-d5a7-4563-b3a5-64eb0175774b,11105,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,151 W Layton Ave,WI,42.958814,-87.911686,(414) 747-9140,Milwaukee,us,Dunkin' Donuts,1601e821-b29e-4463-946c-56006c99dc6b,53207,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,309 W Chicago Ave,IL,41.896343,-87.636178,(312) 944-8828,Chicago,us,Dunkin' Donuts,607ed8e3-0099-4ef2-adb5-473f47fe2fd3,60654,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,7039 W Dempster St,IL,42.040362,-87.802855,(847) 965-2100,Niles,us,Dunkin' Donuts,94026ae4-ee75-46c3-affa-3762d62cf91c,60714,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,10395 Narcoossee Rd,FL,28.416358,-81.242399,(407) 658-4655,Orlando,us,Dunkin' Donuts,6ba639a5-33e1-41ca-8654-685b644d4dd7,32832,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2750 14th St NW,DC,38.92512,-77.032547,(202) 234-0314,Washington,us,Dunkin' Donuts,3223c99b-a88f-4fab-b820-e4a1b688370a,20009,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,606 10th Ave,NY,40.760615,-73.99442,(212) 247-2400,New York,us,Dunkin' Donuts,a85c2111-221a-4846-9bfc-f977ae01a079,10036,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,2458 Jericho Tpke,NY,40.743414,-73.657071,(516) 248-6207,Garden City Park,us,Dunkin' Donuts,eb8be98a-2351-4b7a-9081-3446ffca6ae2,11040,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,378 Passaic Ave,NJ,40.888022,-74.272624,(973) 276-7966,Fairfield,us,Dunkin' Donuts,6ff1a9b9-cf9a-47ca-b436-0695f2b442b9,7004,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,9243 4th Ave,NY,40.617198,-74.030273,(718) 745-4060,Brooklyn,us,Dunkin' Donuts,19501fee-0c1c-4bdc-ab1d-7064f67a7994,11209,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1046 4th St N,FL,27.782993,-82.638789,(727) 821-3240,Saint Petersburg,us,Dunkin' Donuts,e03d25ec-79e7-4dc1-aa70-11f3aa2c4bf8,33701,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,3300 S Cobb Dr SE,GA,33.888461,-84.473213,(770) 436-6350,Smyrna,us,Dunkin' Donuts,179d8428-95cb-47f0-8ba0-f26001b884d0,30080,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,1106 Hempstead Tpke,NY,40.708347,-73.681153,(516) 328-0177,Franklin Square,us,Dunkin' Donuts,199c3509-a93f-4949-ade6-b1b9b5ff41cf,11010,"Social, Food and Dining, Bagels and Donuts"
Dunkin' Donuts,http://www.dunkindonuts.com,24 Newbridge Rd,NY,40.767977,-73.527758,(516) 931-5777,Hicksville,us,Dunkin' Donuts,a390f0b4-fc65-4b85-98bd-cb02b58e2512,11801,"Social, Food and Dining, Bagels and Donuts"
